CHR	START	STOP	GENE	REGION_COV	AVG_AUTOSOMAL_COV	AVG_TOTAL_COV	AVG_GENE_COV	NORMALIZED_AUTOSOMAL	NORMALIZED_TOTAL	NORMALIZED_GENE
chr10	94645665	94645767	UNKNOWN10	16806	19941.5556962025	19941.5556962025	17207.7	0.842762734062938	0.842762734062938	0.976655799438623
chr10	94761842	94761944	UNKNOWN10	17609.4	19941.5556962025	19941.5556962025	17207.7	0.8830504634778	0.8830504634778	1.02334420056138
chr10	94762678	94762874	CYP2C19	19147.3	19941.5556962025	19941.5556962025	19146.3333333333	0.960170825771944	0.960170825771944	1.00005048834416
chr10	94775102	94775204	CYP2C19	18094.9	19941.5556962025	19941.5556962025	19146.3333333333	0.907396608151581	0.907396608151581	0.945084350354289
chr10	94775356	94775484	CYP2C19	18953.5	19941.5556962025	19941.5556962025	19146.3333333333	0.950452426518023	0.950452426518023	0.989928445829489
chr10	94775505	94775607	CYP2C19	17927	19941.5556962025	19941.5556962025	19146.3333333333	0.898977004257188	0.898977004257188	0.936315047267536
chr10	94780549	94780752	CYP2C19	19795.3	19941.5556962025	19941.5556962025	19146.3333333333	0.992665783029637	0.992665783029637	1.0338950887028
chr10	94781817	94781982	CYP2C19	20658.5	19941.5556962025	19941.5556962025	19146.3333333333	1.03595227547538	1.03595227547538	1.07897943905709
chr10	94781987	94782089	CYP2C19	21591.3	19941.5556962025	19941.5556962025	19146.3333333333	1.08272896703398	1.08272896703398	1.12769895019064
chr10	94842783	94842885	CYP2C19	18143.5	19941.5556962025	19941.5556962025	19146.3333333333	0.909833729945907	0.909833729945907	0.947622695381187
chr10	94842931	94843033	CYP2C19	20499.8	19941.5556962025	19941.5556962025	19146.3333333333	1.02799401973958	1.02799401973958	1.07069064572851
chr10	94849952	94850054	CYP2C19	16744.3	19941.5556962025	19941.5556962025	19146.3333333333	0.839668692608	0.839668692608	0.874543428680861
chr10	94852639	94852767	CYP2C19	19717.2	19941.5556962025	19941.5556962025	19146.3333333333	0.988749338335462	0.988749338335462	1.02981597869044
chr10	94852900	94853002	CYP2C19	18483.4	19941.5556962025	19941.5556962025	19146.3333333333	0.926878538544503	0.926878538544503	0.965375441773011
chr10	94938662	94938838	CYP2C9	18009.6	19941.5556962025	19941.5556962025	18904.2066666667	0.903119108376764	0.903119108376764	0.952676846881699
chr10	94941857	94941959	CYP2C9	20013.8	19941.5556962025	19941.5556962025	18904.2066666667	1.00362280179631	1.00362280179631	1.05869557780967
chr10	94941963	94942065	CYP2C9	19973.6	19941.5556962025	19941.5556962025	18904.2066666667	1.0016069109294	1.0016069109294	1.05656906699073
chr10	94942189	94942296	CYP2C9	19056.3	19941.5556962025	19941.5556962025	18904.2066666667	0.955607490724954	0.955607490724954	1.00804547559256
chr10	94942307	94942409	CYP2C9	16814.8	19941.5556962025	19941.5556962025	18904.2066666667	0.843204023605944	0.843204023605944	0.889473983039401
chr10	94947690	94947792	CYP2C9	13408	19941.5556962025	19941.5556962025	18904.2066666667	0.672364794615963	0.672364794615963	0.709260125876745
chr10	94947868	94947970	CYP2C9	19444	19941.5556962025	19941.5556962025	18904.2066666667	0.975049303886694	0.975049303886694	1.02855413839107
chr10	94949091	94949193	CYP2C9	18658.2	19941.5556962025	19941.5556962025	18904.2066666667	0.935644153557843	0.935644153557843	0.986986670691638
chr10	94949211	94949313	CYP2C9	19227.2	19941.5556962025	19941.5556962025	18904.2066666667	0.96417753423628	0.96417753423628	1.01708579148697
chr10	94972106	94972229	CYP2C9	19508.1	19941.5556962025	19941.5556962025	18904.2066666667	0.978263697035178	0.978263697035178	1.03194491807996
chr10	94981098	94981200	CYP2C9	18958.3	19941.5556962025	19941.5556962025	18904.2066666667	0.950693129905117	0.950693129905117	1.00286144424292
chr10	94981221	94981323	CYP2C9	20645.9	19941.5556962025	19941.5556962025	18904.2066666667	1.03532042908426	1.03532042908426	1.09213258001482
chr10	94981368	94981471	CYP2C9	19759.3	19941.5556962025	19941.5556962025	18904.2066666667	0.990860507626432	0.990860507626432	1.04523296578434
chr10	94986031	94986192	CYP2C9	19749.9	19941.5556962025	19941.5556962025	18904.2066666667	0.99038913016004	0.99038913016004	1.044735721961
chr10	94988849	94989023	CYP2C9	20336.1	19941.5556962025	19941.5556962025	18904.2066666667	1.0197850313089	1.0197850313089	1.07574469315648
chr13	48037751	48037854	NUDT15	17349.4	19941.5556962025	19941.5556962025	18229.55	0.87001236334354	0.87001236334354	0.951718501005236
chr13	48045662	48045764	NUDT15	19109.7	19941.5556962025	19941.5556962025	18229.55	0.958285315906375	0.958285315906375	1.04828149899476
chr16	31093389	31093491	VKORC1	15969.1	19941.5556962025	19941.5556962025	16105.5	0.800795095592316	0.800795095592316	0.991530843500667
chr16	31094524	31094626	VKORC1	16241.9	19941.5556962025	19941.5556962025	16105.5	0.814475071425493	0.814475071425493	1.00846915649933
chr16	31096359	31096461	UNKNOWN16	18154.1	19941.5556962025	19941.5556962025	18154.1	0.910365283259073	0.910365283259073	1
chr19	15879568	15879670	CYP4F2	16761.7	19941.5556962025	19941.5556962025	16761.7	0.840541242386216	0.840541242386216	1
chr1	97078964	97079146	DPYD	19854	19941.5556962025	19941.5556962025	19602.975	0.995609384867641	0.995609384867641	1.01280545427416
chr1	97082319	97082478	DPYD	21073	19941.5556962025	19941.5556962025	19602.975	1.05673801588173	1.05673801588173	1.07498989311571
chr1	97098478	97098632	DPYD	21094.9	19941.5556962025	19941.5556962025	19602.975	1.05783622508534	1.05783622508534	1.07610707048292
chr1	97193059	97193291	DPYD	21842.3	19941.5556962025	19941.5556962025	19602.975	1.09531574831744	1.09531574831744	1.11423393643057
chr1	97234841	97234998	DPYD	20390.7	19941.5556962025	19941.5556962025	19602.975	1.02252303233709	1.02252303233709	1.0401839516706
chr1	97305248	97305410	DPYD	19970.2	19941.5556962025	19941.5556962025	19602.975	1.00143641269688	1.00143641269688	1.01873312596685
chr1	97306166	97306328	DPYD	20449.8	19941.5556962025	19941.5556962025	19602.975	1.02548669279069	1.02548669279069	1.04319880018212
chr1	97373550	97373652	DPYD	18397.5	19941.5556962025	19941.5556962025	19602.975	0.922570950846299	0.922570950846299	0.938505507454863
chr1	97382372	97382477	DPYD	19202	19941.5556962025	19941.5556962025	19602.975	0.962913841454037	0.962913841454037	0.979545196583682
chr1	97450047	97450223	DPYD	20403.3	19941.5556962025	19941.5556962025	19602.975	1.02315487872821	1.02315487872821	1.04082671125174
chr1	97515715	97515980	DPYD	22078.2	19941.5556962025	19941.5556962025	19602.975	1.10714531686233	1.10714531686233	1.12626782414404
chr1	97549548	97549766	DPYD	21017.1	19941.5556962025	19941.5556962025	19602.975	1.05393482435286	1.05393482435286	1.07213828513274
chr1	97573748	97573985	DPYD	22302.6	19941.5556962025	19941.5556962025	19602.975	1.11839820020898	1.11839820020898	1.13771506620806
chr1	97593206	97593387	DPYD	18346.8	19941.5556962025	19941.5556962025	19602.975	0.920028521320119	0.920028521320119	0.935919165330773
chr1	97595047	97595175	DPYD	20500.6	19941.5556962025	19941.5556962025	19602.975	1.02803413697076	1.02803413697076	1.04579024357272
chr1	97679084	97679188	DPYD	16399.2	19941.5556962025	19941.5556962025	19602.975	0.82236312200672	0.82236312200672	0.836566898646762
chr1	97691706	97691808	DPYD	17483.9	19941.5556962025	19941.5556962025	19602.975	0.876757072836071	0.876757072836071	0.891900336556059
chr1	97699340	97699595	DPYD	21678.3	19941.5556962025	19941.5556962025	19602.975	1.08709171592506	1.08709171592506	1.10586785934278
chr1	97720875	97720979	DPYD	18027.3	19941.5556962025	19941.5556962025	19602.975	0.904006702116673	0.904006702116673	0.919620618809135
chr1	97721499	97721671	DPYD	18645.8	19941.5556962025	19941.5556962025	19602.975	0.935022336474517	0.935022336474517	0.951171952216437
chr1	97740385	97740503	DPYD	19525.8	19941.5556962025	19941.5556962025	19602.975	0.979151290775087	0.979151290775087	0.996063097565548
chr1	97828103	97828205	DPYD	16679.9	19941.5556962025	19941.5556962025	19602.975	0.836439255497822	0.836439255497822	0.850886153759825
chr1	97883244	97883379	DPYD	19378.9	19941.5556962025	19941.5556962025	19602.975	0.971784764199231	0.971784764199231	0.988569337052157
