CHR	START	STOP	GENE	REGION_COV	AVG_AUTOSOMAL_COV	AVG_TOTAL_COV	AVG_GENE_COV	NORMALIZED_AUTOSOMAL	NORMALIZED_TOTAL	NORMALIZED_GENE
chr10	94645665	94645767	UNKNOWN10	13181.7	13061.8215189873	13061.8215189873	12196.2	1.00917777668592	1.00917777668592	1.08080385693905
chr10	94761842	94761944	UNKNOWN10	11210.7	13061.8215189873	13061.8215189873	12196.2	0.858279986731065	0.858279986731065	0.919196143060953
chr10	94762678	94762874	CYP2C19	13505.3	13061.8215189873	13061.8215189873	13397.7166666667	1.03395226924269	1.03395226924269	1.00802997525698
chr10	94775102	94775204	CYP2C19	12349.6	13061.8215189873	13061.8215189873	13397.7166666667	0.94547303238281	0.94547303238281	0.921769007903088
chr10	94775356	94775484	CYP2C19	12536.4	13061.8215189873	13061.8215189873	13397.7166666667	0.959774253673306	0.959774253673306	0.935711682214507
chr10	94775505	94775607	CYP2C19	12025.1	13061.8215189873	13061.8215189873	13397.7166666667	0.920629636725604	0.920629636725604	0.897548462859965
chr10	94780549	94780752	CYP2C19	13502.4	13061.8215189873	13061.8215189873	13397.7166666667	1.03373024814129	1.03373024814129	1.00781352046306
chr10	94781817	94781982	CYP2C19	14967	13061.8215189873	13061.8215189873	13397.7166666667	1.14585856025082	1.14585856025082	1.11713065534799
chr10	94781987	94782089	CYP2C19	15373.9	13061.8215189873	13061.8215189873	13397.7166666667	1.17701041754794	1.17701041754794	1.14750150212163
chr10	94842783	94842885	CYP2C19	13206.9	13061.8215189873	13061.8215189873	13397.7166666667	1.01110706349813	1.01110706349813	0.98575752335908
chr10	94842931	94843033	CYP2C19	14367.3	13061.8215189873	13061.8215189873	13397.7166666667	1.09994612766029	1.09994612766029	1.07236929675828
chr10	94849952	94850054	CYP2C19	11768.9	13061.8215189873	13061.8215189873	13397.7166666667	0.901015220801487	0.901015220801487	0.878425801411435
chr10	94852639	94852767	CYP2C19	14078.8	13061.8215189873	13061.8215189873	13397.7166666667	1.07785885602053	1.07785885602053	1.05083577674305
chr10	94852900	94853002	CYP2C19	13091	13061.8215189873	13061.8215189873	13397.7166666667	1.00223387534198	1.00223387534198	0.977106795560935
chr10	94938662	94938838	CYP2C9	12553.3	13061.8215189873	13061.8215189873	13110.6533333333	0.961068100781493	0.961068100781493	0.957488515700718
chr10	94941857	94941959	CYP2C9	13954	13061.8215189873	13061.8215189873	13110.6533333333	1.06830429276007	1.06830429276007	1.06432529678155
chr10	94941963	94942065	CYP2C9	13982.4	13061.8215189873	13061.8215189873	13110.6533333333	1.07047856837383	1.07047856837383	1.0664914741091
chr10	94942189	94942296	CYP2C9	12890.5	13061.8215189873	13061.8215189873	13110.6533333333	0.986883795744851	0.986883795744851	0.983208057772865
chr10	94942307	94942409	CYP2C9	11384.2	13061.8215189873	13061.8215189873	13110.6533333333	0.871562973315118	0.871562973315118	0.868316758178337
chr10	94947690	94947792	CYP2C9	9309.6	13061.8215189873	13061.8215189873	13110.6533333333	0.71273367091007	0.71273367091007	0.710079029877992
chr10	94947868	94947970	CYP2C9	13649	13061.8215189873	13061.8215189873	13110.6533333333	1.04495379761231	1.04495379761231	1.04106177266528
chr10	94949091	94949193	CYP2C9	12851.3	13061.8215189873	13061.8215189873	13110.6533333333	0.98388268292586	0.98388268292586	0.980218122870053
chr10	94949211	94949313	CYP2C9	13480.5	13061.8215189873	13061.8215189873	13110.6533333333	1.03205360603068	1.03205360603068	1.02820962901417
chr10	94972106	94972229	CYP2C9	13649.6	13061.8215189873	13061.8215189873	13110.6533333333	1.0449997330126	1.0449997330126	1.04110753697502
chr10	94981098	94981200	CYP2C9	13163.3	13061.8215189873	13061.8215189873	13110.6533333333	1.00776909107701	1.00776909107701	1.00401556393325
chr10	94981221	94981323	CYP2C9	14116.5	13061.8215189873	13061.8215189873	13110.6533333333	1.08074513033879	1.08074513033879	1.0767197973353
chr10	94981368	94981471	CYP2C9	13697.3	13061.8215189873	13061.8215189873	13110.6533333333	1.04865159733571	1.04865159733571	1.0447457995991
chr10	94986031	94986192	CYP2C9	13920.8	13061.8215189873	13061.8215189873	13110.6533333333	1.06576253394398	1.06576253394398	1.06179300497611
chr10	94988849	94989023	CYP2C9	14057.5	13061.8215189873	13061.8215189873	13110.6533333333	1.07622814931021	1.07622814931021	1.07221964021117
chr13	48037751	48037854	NUDT15	10628.8	13061.8215189873	13061.8215189873	10966.3	0.813730304349162	0.813730304349162	0.969223895023846
chr13	48045662	48045764	NUDT15	11303.8	13061.8215189873	13061.8215189873	10966.3	0.865407629676168	0.865407629676168	1.03077610497615
chr16	31093389	31093491	VKORC1	10715.6	13061.8215189873	13061.8215189873	10470.2	0.820375625591212	0.820375625591212	1.02343794769918
chr16	31094524	31094626	VKORC1	10224.8	13061.8215189873	13061.8215189873	10470.2	0.782800468153442	0.782800468153442	0.976562052300815
chr16	31096359	31096461	UNKNOWN16	12780.2	13061.8215189873	13061.8215189873	12780.2	0.978439337991415	0.978439337991415	1
chr19	15879568	15879670	CYP4F2	11749.1	13061.8215189873	13061.8215189873	11749.1	0.899499352591895	0.899499352591895	1
chr1	97078964	97079146	DPYD	13883.6	13061.8215189873	13061.8215189873	13724.825	1.06291453912596	1.06291453912596	1.01156845351398
chr1	97082319	97082478	DPYD	14820.5	13061.8215189873	13061.8215189873	13724.825	1.13464266667985	1.13464266667985	1.07983161898239
chr1	97098478	97098632	DPYD	14745.1	13061.8215189873	13061.8215189873	13724.825	1.12887011804332	1.12887011804332	1.07433792416297
chr1	97193059	97193291	DPYD	15597.1	13061.8215189873	13061.8215189873	13724.825	1.19409838645607	1.19409838645607	1.13641521840898
chr1	97234841	97234998	DPYD	14120.5	13061.8215189873	13061.8215189873	13724.825	1.08105136634073	1.08105136634073	1.02882914718403
chr1	97305248	97305410	DPYD	13922.1	13061.8215189873	13061.8215189873	13724.825	1.06586206064461	1.06586206064461	1.01437358946289
chr1	97306166	97306328	DPYD	14524.3	13061.8215189873	13061.8215189873	13724.825	1.11196589073635	1.11196589073635	1.05825028734428
